[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /statics/*filepath        --> github.com/gin-gonic/gin.(*RouterGroup).createStaticHandler.func1 (4 handlers)
[GIN-debug] HEAD   /statics/*filepath        --> github.com/gin-gonic/gin.(*RouterGroup).createStaticHandler.func1 (4 handlers)
[GIN-debug] POST   /api/admin                --> blog-gin/controllers.PostAdmin (4 handlers)
[GIN-debug] GET    /api/verify               --> blog-gin/controllers.Verify (4 handlers)
[GIN-debug] GET    /api/admin                --> blog-gin/controllers.GetAdmin (4 handlers)
[GIN-debug] GET    /api/category_name/:id    --> blog-gin/controllers.GetCategoryName (4 handlers)
[GIN-debug] GET    /api/categories           --> blog-gin/controllers.GetCategories (4 handlers)
[GIN-debug] GET    /api/category_page/:num   --> blog-gin/controllers.GetPageCategory (4 handlers)
[GIN-debug] GET    /api/category/:id/:num    --> blog-gin/controllers.GetCategoy (4 handlers)
[GIN-debug] GET    /api/article/:id          --> blog-gin/controllers.GetArticle (4 handlers)
[GIN-debug] GET    /api/article_page/:num    --> blog-gin/controllers.GetPageArticle (4 handlers)
[GIN-debug] POST   /api/article/addViews     --> blog-gin/controllers.AddArticleViews (4 handlers)
[GIN-debug] GET    /api/admin/article_id     --> blog-gin/controllers.GetArticleID (4 handlers)
[GIN-debug] PUT    /api/admin/article_id     --> blog-gin/controllers.PutArticleID (4 handlers)
[GIN-debug] PUT    /api/admin                --> blog-gin/controllers.PutAdmin (5 handlers)
[GIN-debug] PUT    /api/admin/setpwd         --> blog-gin/controllers.PutAdminPwd (5 handlers)
[GIN-debug] POST   /api/category             --> blog-gin/controllers.CreateCategory (5 handlers)
[GIN-debug] PUT    /api/category             --> blog-gin/controllers.UpdataCategory (5 handlers)
[GIN-debug] DELETE /api/category             --> blog-gin/controllers.DeleteCategory (5 handlers)
[GIN-debug] POST   /api/article              --> blog-gin/controllers.CreateArticle (5 handlers)
[GIN-debug] PUT    /api/article              --> blog-gin/controllers.UpdateArticle (5 handlers)
[GIN-debug] DELETE /api/article              --> blog-gin/controllers.DeleteArticle (5 handlers)
[GIN] 2020/02/12 - 16:57:11 | 200 |    1.484696ms |             ::1 | GET      /api/admin/article_id
[GIN] 2020/02/12 - 16:57:11 | 200 |   17.008667ms |             ::1 | GET      /api/admin
[GIN] 2020/02/12 - 16:57:11 | 404 |    2.269374ms |             ::1 | GET      /api/article/3
[GIN] 2020/02/12 - 16:57:11 | 200 |    2.861392ms |             ::1 | GET      /api/admin
[GIN] 2020/02/12 - 16:57:11 | 200 |    5.884967ms |             ::1 | GET      /api/article_page/0
[GIN] 2020/02/12 - 16:57:14 | 200 |     551.508µs |             ::1 | GET      /api/article_page/1
[GIN] 2020/02/12 - 16:57:15 | 200 |    2.467944ms |             ::1 | GET      /api/admin
[GIN] 2020/02/12 - 16:57:15 | 200 |   11.328206ms |             ::1 | GET      /api/category_page/0
[GIN] 2020/02/12 - 16:57:16 | 200 |    1.789869ms |             ::1 | GET      /api/category/1/0
[GIN] 2020/02/12 - 16:57:16 | 200 |     670.722µs |             ::1 | GET      /api/admin
[GIN] 2020/02/12 - 16:57:18 | 200 |      71.406µs |             ::1 | OPTIONS  /api/category/1/1
[GIN] 2020/02/12 - 16:57:18 | 200 |     961.642µs |             ::1 | GET      /api/category/1/1
[GIN] 2020/02/12 - 16:57:20 | 200 |    1.676134ms |             ::1 | GET      /api/category/1/0
[GIN] 2020/02/12 - 16:57:23 | 200 |      526.29µs |             ::1 | GET      /api/admin
[GIN] 2020/02/12 - 16:57:23 | 200 |     747.958µs |             ::1 | GET      /api/admin/article_id
[GIN] 2020/02/12 - 16:57:23 | 404 |    1.908123ms |             ::1 | GET      /api/article/3
[GIN] 2020/02/12 - 16:57:36 | 200 |     119.464µs |             ::1 | OPTIONS  /api/article_page/0
[GIN] 2020/02/12 - 16:57:36 | 200 |      89.318µs |             ::1 | OPTIONS  /api/admin
[GIN] 2020/02/12 - 16:57:36 | 200 |     3.61712ms |             ::1 | GET      /api/admin
[GIN] 2020/02/12 - 16:57:36 | 200 |   12.917117ms |             ::1 | GET      /api/article_page/0
[GIN] 2020/02/12 - 16:57:37 | 200 |      593.06µs |             ::1 | OPTIONS  /api/admin
[GIN] 2020/02/12 - 16:57:37 | 200 |      35.115µs |             ::1 | OPTIONS  /api/article/14
[GIN] 2020/02/12 - 16:57:37 | 200 |    5.628229ms |             ::1 | GET      /api/admin
[GIN] 2020/02/12 - 16:57:37 | 200 |    14.26583ms |             ::1 | GET      /api/article/14
[GIN] 2020/02/12 - 16:57:37 | 200 |      50.595µs |             ::1 | OPTIONS  /api/article/addViews
[GIN] 2020/02/12 - 16:57:37 | 200 |      20.795µs |             ::1 | OPTIONS  /api/category_name/1
[GIN] 2020/02/12 - 16:57:37 | 200 |    2.648214ms |             ::1 | GET      /api/category_name/1
[GIN] 2020/02/12 - 16:57:37 | 200 |   10.208996ms |             ::1 | POST     /api/article/addViews
[GIN] 2020/02/12 - 16:57:37 | 200 |        43.1µs |             ::1 | OPTIONS  /api/admin/article_id
[GIN] 2020/02/12 - 16:57:37 | 200 |    4.298975ms |             ::1 | PUT      /api/admin/article_id
[GIN] 2020/02/12 - 16:57:38 | 200 |      31.476µs |             ::1 | OPTIONS  /api/admin
